date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:49:25	9295/9295	---M-Z	200	added ('OK')	image/png	etag:W/%22244f-17f30bd4486%22	https://hindi.news18.com/images/icons/news18_hindi_512x512_v1.png	C:/My%20Web%20Sites/ttyyu/hindi.news18.com/images/icons/news18_hindi_512x512_v1.png	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:25	9953/9953	---M-Z	200	added ('OK')	text/css	etag:W/%2226e1-18456538c9d%22	https://hindi.news18.com/_next/static/css/3c2df2a1f7b39a37.css	C:/My%20Web%20Sites/ttyyu/hindi.news18.com/_next/static/css/3c2df2a1f7b39a37.css	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:25	91460/91460	---M-Z	200	added ('OK')	application/javascript	etag:W/%2216544-18456538c9c%22	https://hindi.news18.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/My%20Web%20Sites/ttyyu/hindi.news18.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:26	2419/2419	---M--	200	added ('OK')	image/jpeg	etag:%225fc0b151-8b17%22	https://images.news18.com/ibnlive/uploads/2020/11/1606463824_top_bg.png	C:/My%20Web%20Sites/ttyyu/images.news18.com/ibnlive/uploads/2020/11/1606463824_top_bg.jpg	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:26	580/580	---M--	200	added ('OK')	image/png	etag:%2263319927-269%22	https://images.news18.com/ibnkhabar/uploads/assets/event/common/images/telegram_header_1593419014.png	C:/My%20Web%20Sites/ttyyu/images.news18.com/ibnkhabar/uploads/assets/event/common/images/telegram_header_1593419014.png	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:26	14132/14132	---M--	200	added ('OK')	image/jpeg	etag:%2263319926-3734%22	https://images.news18.com/ibnkhabar/uploads/assets/event/common/images/Women_World_Cup_2022_bg_D.jpg	C:/My%20Web%20Sites/ttyyu/images.news18.com/ibnkhabar/uploads/assets/event/common/images/Women_World_Cup_2022_bg_D.jpg	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:26	18/18	---M--	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2016%20Mar%202023%2022:19:29%20GMT	https://hindi.news18.com/news/bihar/woff2	C:/My%20Web%20Sites/ttyyu/hindi.news18.com/news/bihar/woff2	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:27	322938/322938	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Mar%202023%2022:19:30%20GMT	https://hindi.news18.com/news/bihar/woff2/	C:/My%20Web%20Sites/ttyyu/hindi.news18.com/news/bihar/woff2/index.html	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:27	2423/2423	---M--	200	added ('OK')	image/png	etag:%22602cfeec-ecc%22	https://images.news18.com/static_news18/pix/ibnhome/news18/css/desktop/new_footer/social_icon.png	C:/My%20Web%20Sites/ttyyu/images.news18.com/static_news18/pix/ibnhome/news18/css/desktop/new_footer/social_icon.png	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
03:49:29	1131/1131	---M--	200	added ('OK')	image/jpeg	etag:%2263947f9e-2acc%22	https://images.news18.com/ibnkhabar/uploads/assets/images/Anurag.jpg?impolicy=website&width=52&height=52	C:/My%20Web%20Sites/ttyyu/images.news18.com/ibnkhabar/uploads/assets/images/Anuragd724.jpg	(from https://hindi.news18.com/news/bihar/saran-chhapra-crime-news-fake-birth-certificate-chhapra-sadar-hospital-bsnl-ad-hoc-employee-arrested-5468849.html)
